key,state,postal,inspected,totalInspections,violations,leadRelated,penalty,currentPenalty
1,Alabama,AL,2,2,20,17,39200,22000
2,Alaska,AK,0,0,0,0,0,0
4,Arizona,AZ,7,8,51,28,23475,12412.5
5,Arkansas,AR,2,2,14,10,4050,450
6,California,CA,14,19,113,93,108740,69615
8,Colorado,CO,7,12,94,88,44957,27687
9,Connecticut,CT,1,2,17,7,21250,9575
10,Delaware,DE,0,0,0,0,0,0
11,District of Columbia,DC,0,0,0,0,0,0
12,Florida,FL,22,33,155,122,149405,77645.5
13,Georgia,GA,7,10,50,40,49450,24890
15,Hawaii,HI,3,3,8,7,2250,1912.5
16,Idaho,ID,2,3,26,25,1650,825
17,Illinois,IL,9,11,112,94,185990,145956
18,Indiana,IN,1,2,6,6,2250,1672.5
19,Iowa,IA,0,0,0,0,0,0
20,Kansas,KS,0,0,0,0,0,0
21,Kentucky,KY,4,7,52,36,486650,12200
22,Louisiana,LA,0,0,0,0,0,0
23,Maine,ME,0,0,0,0,0,0
24,Maryland,MD,1,1,8,5,0,0
25,Massachusetts,MA,0,0,0,0,0,0
26,Michigan,MI,11,19,97,79,46925,24912.45
27,Minnesota,MN,7,9,34,27,33550,15230
28,Mississippi,MS,0,0,0,0,0,0
29,Missouri,MO,4,4,20,17,29405,18200
30,Montana,MT,0,0,0,0,0,0
31,Nebraska,NE,1,2,9,8,11925,8122.5
32,Nevada,NV,12,29,101,68,176782,96004.8
33,New Hampshire,NH,2,3,45,39,16750,5375
34,New Jersey,NJ,1,1,17,14,16000,10750
35,New Mexico,NM,1,2,4,4,600,600
36,New York,NY,3,5,16,2,0,0
37,North Carolina,NC,14,18,130,106,25400,13685
38,North Dakota,ND,0,0,0,0,0,0
39,Ohio,OH,5,7,55,43,45770,21409
40,Oklahoma,OK,2,2,20,20,19731,5478.6
41,Oregon,OR,2,3,13,12,2260,1430
42,Pennsylvania,PA,4,5,36,31,17730,10975
44,Rhode Island,RI,0,0,0,0,0,0
45,South Carolina,SC,6,8,51,51,18550,5025
46,South Dakota,SD,0,0,0,0,0,0
47,Tennessee,TN,12,14,154,121,10250,8888
48,Texas,TX,9,12,103,80,177410,99225
49,Utah,UT,1,1,10,10,1470,588
50,Vermont,VT,0,0,0,0,0,0
51,Virginia,VA,10,20,168,117,102155,44968
53,Washington,WA,10,18,130,96,102470,93260
54,West Virginia,WV,0,0,0,0,0,0
55,Wisconsin,WI,2,2,5,2,7700,4250
56,Wyoming,WY,1,1,0,0,0,0
US,United States,US,202,300,1944,1525,1982150,895217.35
